k,silhouette,calinski_harabasz,valid_sizes,min_cluster_pct
3,0.33614939225342044,22063.404476817846,True,0.199706054220601
4,0.3669669738927554,19617.36185544231,True,0.14293556212703415
5,0.3383679851794141,17945.832734777785,True,0.11864076638393568
6,0.34399382764675696,17560.488660381117,False,0.0038248366476015087
7,0.34164387272588925,16217.59229667448,True,0.09004302941228552
8,0.34769271434967447,17253.664416820895,False,0.0038248366476015087
