component,explained_variance_ratio,cumulative_variance
PC1,0.3341502264623534,0.3341502264623534
PC2,0.11426679926430193,0.4484170257266553
PC3,0.09088871422060417,0.5393057399472595
PC4,0.08375698785490258,0.6230627278021621
PC5,0.07086834970815298,0.6939310775103151
PC6,0.05445571961301264,0.7483867971233278
PC7,0.04737574445818052,0.7957625415815083
PC8,0.043547113509471165,0.8393096550909794
PC9,0.03327076807188715,0.8725804231628665
PC10,0.026715312130258215,0.8992957352931248
