Base_Origen,Localidad_fic,cluster,cases,n,prevalence,ci_low,ci_high
MARZO2023_NOVI 2024,Antonio Nariño,0,512.0,696,0.735632183908046,0.7016406576536499,0.7670369204834245
MARZO2023_NOVI 2024,Barrios Unidos,0,1070.0,1174,0.9114139693356048,0.8937895287230125,0.9263548062940289
MARZO2023_NOVI 2024,Bosa,0,1903.0,2413,0.7886448404475757,0.7719027078551443,0.8044693975289295
MARZO2023_NOVI 2024,Candelaria,0,132.0,197,0.6700507614213198,0.6016891751249996,0.7319072864492803
MARZO2023_NOVI 2024,Chapinero,0,48.0,49,0.9795918367346939,0.8930647847660836,0.9963883274101747
MARZO2023_NOVI 2024,Ciudad Bolívar,0,2679.0,3615,0.7410788381742739,0.7265488171265365,0.755097041039355
MARZO2023_NOVI 2024,Engativá,0,1218.0,1318,0.9241274658573596,0.9085670870985227,0.9372226954351897
MARZO2023_NOVI 2024,Fontibón,0,203.0,238,0.8529411764705882,0.80234804395883,0.8923219304087924
MARZO2023_NOVI 2024,Kennedy,0,1981.0,2477,0.7997577714977796,0.7835394885769437,0.815047734608982
MARZO2023_NOVI 2024,Los Mártires,0,1128.0,1513,0.7455386649041639,0.7229888462434478,0.7668448115059016
MARZO2023_NOVI 2024,Puente Aranda,0,155.0,197,0.7868020304568528,0.7244084852131294,0.8382243529643874
MARZO2023_NOVI 2024,Rafael Uribe Uribe,0,897.0,1394,0.6434720229555236,0.6179655683301891,0.6681899162391874
MARZO2023_NOVI 2024,San Cristóbal,0,864.0,1268,0.6813880126182965,0.6552272189571663,0.7064530807450714
MARZO2023_NOVI 2024,Santa fe,0,983.0,1263,0.7783056215360253,0.7545722937501294,0.8003511302546584
MARZO2023_NOVI 2024,Suba,0,1738.0,1883,0.9229952203929899,0.910073987643952,0.9341940840337025
MARZO2023_NOVI 2024,Teusaquillo,0,132.0,150,0.88,0.818291645158672,0.9227309691215898
MARZO2023_NOVI 2024,Tunjuelito,0,598.0,727,0.8225584594222833,0.7931132371576456,0.8486128093597362
MARZO2023_NOVI 2024,Usaquén,0,695.0,801,0.867665418227216,0.8424346606382601,0.889386486924194
MARZO2023_NOVI 2024,Usme,0,1289.0,1358,0.9491899852724595,0.9361906046571861,0.9596552312130747
dic24_mar25,Antonio Nariño,0,36.0,70,0.5142857142857142,0.3995438391900923,0.6275412161696143
dic24_mar25,Barrios Unidos,0,54.0,58,0.9310344827586207,0.8356633368561964,0.9728557529824217
dic24_mar25,Bosa,0,357.0,415,0.8602409638554217,0.8235664880334348,0.8903074461321938
dic24_mar25,Candelaria,0,21.0,35,0.6,0.43572709012892497,0.7444927114061941
dic24_mar25,Ciudad Bolívar,0,143.0,186,0.7688172043010753,0.7031604000923547,0.8235949283865015
dic24_mar25,Engativá,0,103.0,109,0.944954128440367,0.885082725847891,0.9745304076027645
dic24_mar25,Fontibón,0,57.0,61,0.9344262295081968,0.8431719832010424,0.9742062955104335
dic24_mar25,Kennedy,0,271.0,335,0.808955223880597,0.76344818093902,0.8474569920006908
dic24_mar25,Los Mártires,0,64.0,118,0.5423728813559322,0.4525651223077116,0.6295087472666532
dic24_mar25,Puente Aranda,0,24.0,30,0.8,0.6269430358685175,0.9049489282271013
dic24_mar25,Rafael Uribe Uribe,0,47.0,75,0.6266666666666667,0.513549651144567,0.7274403087597889
dic24_mar25,San Cristóbal,0,40.0,87,0.45977011494252873,0.358970941640143,0.5639717313323724
dic24_mar25,Santa fe,0,91.0,121,0.7520661157024794,0.6681669338901985,0.82045279689661
dic24_mar25,Suba,0,89.0,114,0.7807017543859649,0.6962863381207977,0.8468162391935369
dic24_mar25,Usaquén,0,27.0,30,0.9,0.7437891742081592,0.9654001112526659
dic24_mar25,Usme,0,105.0,105,1.0,0.9647059230708901,1.0
marzo_octubre 2021,Antonio Nariño,1,281.0,328,0.8567073170731707,0.8146551549627219,0.8905008578862892
marzo_octubre 2021,Barrios Unidos,1,184.0,241,0.7634854771784232,0.7059638497099134,0.8127391534975885
marzo_octubre 2021,Bosa,1,731.0,843,0.867141162514828,0.8425545694476353,0.8883968897098029
marzo_octubre 2021,Ciudad Bolívar,1,827.0,1034,0.7998065764023211,0.7743271454091281,0.8230666036366174
marzo_octubre 2021,Engativá,1,630.0,742,0.8490566037735849,0.8215038260023447,0.873013747235068
marzo_octubre 2021,Fontibón,1,202.0,233,0.8669527896995708,0.8173400528642097,0.9046619177851062
marzo_octubre 2021,Kennedy,1,633.0,758,0.8350923482849604,0.8069972014847001,0.8598082002407027
marzo_octubre 2021,Los Mártires,1,299.0,379,0.7889182058047494,0.7450394168168357,0.826998942546354
marzo_octubre 2021,Puente Aranda,1,249.0,323,0.7708978328173375,0.7220418539250667,0.8133859361460986
marzo_octubre 2021,Rafael Uribe Uribe,1,533.0,570,0.9350877192982456,0.911808047547694,0.9525421878280025
marzo_octubre 2021,San Cristóbal,1,525.0,539,0.974025974025974,0.9568770922699235,0.9844658941521736
marzo_octubre 2021,Santa fe,1,258.0,341,0.7565982404692082,0.7083564969548495,0.7991230868471495
marzo_octubre 2021,Suba,1,734.0,772,0.9507772020725389,0.9331600562551656,0.9639304408909191
marzo_octubre 2021,Tunjuelito,1,267.0,337,0.7922848664688428,0.7457976632281762,0.8321836676862517
marzo_octubre 2021,Usaquén,1,309.0,373,0.8284182305630027,0.7868581619933128,0.8632826180756181
marzo_octubre 2021,Usme,1,736.0,840,0.8761904761904762,0.8521894837470558,0.8967663697414041
nov21_sep08_2022,Antonio Nariño,3,375.0,493,0.7606490872210954,0.7210609298565228,0.7962066923141727
nov21_sep08_2022,Barrios Unidos,3,381.0,416,0.9158653846153846,0.8852363569728848,0.9388842550597863
nov21_sep08_2022,Bosa,3,783.0,1010,0.7752475247524753,0.7484892273157282,0.7999199890983868
nov21_sep08_2022,Candelaria,3,29.0,34,0.8529411764705882,0.6987194350454783,0.9355055855521753
nov21_sep08_2022,Ciudad Bolívar,3,1115.0,1306,0.8537519142419602,0.8335504054476411,0.8718784796877527
nov21_sep08_2022,Engativá,3,682.0,771,0.8845654993514915,0.8600787066087925,0.9052391442229684
nov21_sep08_2022,Fontibón,3,363.0,421,0.8622327790973872,0.8260208964257403,0.8918939719739709
nov21_sep08_2022,Kennedy,3,703.0,858,0.8193473193473193,0.7921988384735783,0.8436489667014697
nov21_sep08_2022,Los Mártires,3,465.0,539,0.862708719851577,0.8310773205398264,0.8892066475444006
nov21_sep08_2022,Puente Aranda,3,375.0,458,0.8187772925764192,0.7808948545960287,0.8513567426200764
nov21_sep08_2022,Rafael Uribe Uribe,3,465.0,561,0.8288770053475936,0.7955011420770073,0.8577795161282487
nov21_sep08_2022,San Cristóbal,3,512.0,591,0.8663282571912013,0.8365134630310658,0.8914115892315089
nov21_sep08_2022,Santa fe,3,460.0,527,0.872865275142315,0.841700706696187,0.8986333298974889
nov21_sep08_2022,Suba,3,841.0,869,0.9677790563866513,0.9538259181590286,0.9776147137954313
nov21_sep08_2022,Tunjuelito,3,490.0,561,0.8734402852049911,0.8433643164823437,0.8984367561138682
nov21_sep08_2022,Usaquén,3,413.0,455,0.9076923076923077,0.8775747344080423,0.9309834132221596
nov21_sep08_2022,Usme,3,836.0,887,0.9425028184892897,0.9251893844939933,0.9559999587132613
