Localidad_fic,periodo,prevalence,z_score,is_hotspot_z1.96,is_hotspot_top10pct,count
Puente Aranda,nov21_sep08_2022,0.8187772925764192,-0.8472491963551785,False,False,458
Rafael Uribe Uribe,nov21_sep08_2022,0.8288770053475936,-0.6465874671910911,False,False,561
San Cristóbal,nov21_sep08_2022,0.8663282571912013,0.09749636217747512,False,False,591
Santa fe,nov21_sep08_2022,0.872865275142315,0.22737424636750567,False,False,527
Suba,nov21_sep08_2022,0.9677790563866513,2.113127227417465,True,True,869
Teusaquillo,nov21_sep08_2022,0.88,0.3691274090058714,False,False,25
Tunjuelito,nov21_sep08_2022,0.8734402852049911,0.23879858249245306,False,False,561
Usaquén,nov21_sep08_2022,0.9076923076923077,0.9193199216030669,False,False,455
Usme,nov21_sep08_2022,0.9425028184892897,1.6109373416096884,False,True,887
Antonio Nariño,sep09_2022_mar2023,,,False,False,0
Barrios Unidos,sep09_2022_mar2023,,,False,False,0
Bosa,sep09_2022_mar2023,,,False,False,0
Candelaria,sep09_2022_mar2023,,,False,False,0
Chapinero,sep09_2022_mar2023,,,False,False,0
Ciudad Bolívar,sep09_2022_mar2023,,,False,False,0
Engativá,sep09_2022_mar2023,,,False,False,0
Fontibón,sep09_2022_mar2023,,,False,False,0
Kennedy,sep09_2022_mar2023,,,False,False,0
Los Mártires,sep09_2022_mar2023,,,False,False,0
Puente Aranda,sep09_2022_mar2023,,,False,False,0
Rafael Uribe Uribe,sep09_2022_mar2023,,,False,False,0
San Cristóbal,sep09_2022_mar2023,,,False,False,0
Santa fe,sep09_2022_mar2023,,,False,False,0
Suba,sep09_2022_mar2023,,,False,False,0
Teusaquillo,sep09_2022_mar2023,,,False,False,0
Tunjuelito,sep09_2022_mar2023,,,False,False,0
Usaquén,sep09_2022_mar2023,,,False,False,0
Usme,sep09_2022_mar2023,,,False,False,0
